['月', 'm', 24590]
['慈', 'nr', 20]
['公子', 'n', 20]
['终成', 'v', 20]
['开口', 'n', 20]
['硬', 'a', 20]
['千寻', 'i', 20]
['花明', 'nr', 20]
['浮生', 'v', 20]
['空谷', 'n', 20]
['声名', 'n', 20]
['骚人', 'n', 20]
['春潮', 'n', 20]
['中', 'f', 20]
['交友', 'n', 20]
['朝', 'ns', 20]
['美誉', 'n', 20]
['花木', 'n', 20]
['晚霞', 'n', 20]
['美德', 'ns', 20]
['嫩', 'a', 20]
['参天', 'v', 20]
['简', 'a', 20]
['花生', 'n', 20]
['世路', 'n', 20]
['二月', 'm', 20]
['祥光', 'nz', 20]
['心灵', 'n', 20]
['秋香', 'nr', 20]
['樵夫', 'n', 20]
['马甲', 'nr', 20]
['求', 'v', 20]
['妒', 'v', 20]
['强国', 'n', 20]
['琴声', 'n', 20]
['三山', 'ns', 20]
['露水', 'v', 20]
['跨', 'v', 20]
['万顷', 'm', 20]
['几声', 'm', 20]
['灯火', 'n', 20]
['未了', 't', 20]
['长城', 'ns', 20]
['塘', 'j', 20]
['精神爽', 'i', 20]
['管弦', 'n', 20]
['独立', 'v', 20]
['开泰', 'nz', 20]
['良知', 'n', 20]
['赊', 'v', 20]
['横行', 'v', 20]
['山光', 'n', 20]
['哥', 'n', 20]
['九重', 'm', 20]
['宰相', 'n', 20]
['月', 'm', 20]
['雄风', 'n', 20]
['长短', 'z', 20]
['察', 'j', 20]
['亲人', 'n', 20]
['百岁', 'm', 20]
['骂', 'v', 20]
['红灯', 'n', 20]
['戴月', 'nr', 20]
['苦口', 'n', 20]
['才华', 'nr', 20]
['道人', 'n', 20]
['依旧', 'z', 20]
['香山', 'ns', 20]
['八卦', 'n', 20]
['千杯', 'm', 20]
['长亭', 'ns', 20]
['厚德', 'nz', 20]
['圣主', 'n', 20]
['司马', 'nr', 20]
['长空', 'n', 20]
['百川', 'ns', 20]
['精华', 'nz', 20]
['寂寂', 'a', 20]
['酌', 'vg', 20]
['籁', 'ng', 20]
['患', 'zg', 20]
['蔚', 'nr', 20]
['拔', 'v', 19]
['南国', 'ns', 19]
['鸿儒', 'nr', 19]
['聚散', 'v', 19]
['已成', 'v', 19]
['山', 'n', 19]
['立德', 'nr', 19]
['贵人', 'n', 19]
['天', 'n', 19]
['龙头', 'n', 19]
['百炼', 'nz', 19]
['知', 'v', 19]
['生来', 'v', 19]
['高', 'a', 19]
['萍', 'nr', 19]
['羁', 'zg', 19]
['登天', 'nz', 19]
['逗', 'v', 19]
['击', 'v', 19]
['飞燕', 'nr', 19]
['碧波', 'nr', 19]
['风波', 'n', 19]
['五车', 'n', 19]
['弱', 'a', 19]
['三元', 'm', 19]
['候', 'v', 19]
['此生', 't', 19]
['垂钓', 'v', 19]
['豪杰', 'nrt', 19]
['俭', 'ag', 19]
['八千', 'm', 19]
['巨', 'nr', 19]
['赛', 'nz', 19]
['答', 'v', 19]
['逝水', 'v', 19]
['枰', 'zg', 19]
['北京', 'ns', 19]
['索', 'nr', 19]
['溅', 'v', 19]
['五更', 't', 19]
['大器', 'n', 19]
['人', 'n', 19]
['时', 'n', 19]
['文人', 'n', 19]
['滩', 'ng', 19]
['空灵', 'n', 19]
['流连', 'v', 19]
['平平', 'a', 19]
['公正', 'nr', 19]
['诚信', 'nz', 19]
['童心', 'n', 19]
['出家', 'v', 19]
['抽', 'v', 19]
['妙语', 'nr', 19]
['老板', 'n', 19]
['深', 'ns', 19]
['怡情', 'a', 19]
['依然', 'd', 19]
['舌', 'n', 19]
['迷人', 'n', 19]
['长河', 'ns', 19]
['民间', 'n', 19]
['杵', 'zg', 19]
['辛苦', 'a', 19]
['应该', 'v', 19]
['尚书', 'n', 19]
['花溪', 'nr', 19]
['尘事', 'n', 19]
['雅意', 'n', 19]
['辛', 'nr', 19]
['丛', 'nr', 19]
['渔歌', 'n', 19]
['书卷', 'n', 19]
['徘徊', 'v', 19]
['云', 'n', 19]
['流星', 'n', 19]
['人', 'n', 19]
['机关', 'n', 19]
['有趣', 'a', 19]
['牵牛', 'nz', 19]
['沽酒', 'v', 18]
['方便', 'a', 18]
['入耳', 'v', 18]
['诗文', 'n', 18]
['手中', 's', 18]
['心上', 's', 18]
['浩荡', 'v', 18]
['临门', 'ns', 18]
['悟空', 'n', 18]
['金玉', 'nr', 18]
['淡泊', 'n', 18]
['大夫', 'n', 18]
['一番', 'm', 18]
['牡丹', 'ns', 18]
['致远', 'a', 18]
['三界', 'n', 18]
['闲时', 't', 18]
['用心', 'n', 18]
['凿壁', 'n', 18]
['漏', 'v', 18]
['探花', 'n', 18]
['言', 'vg', 18]
['佐', 'vg', 18]
['产', 'n', 18]
['仙客', 'n', 18]
['途中', 's', 18]
['入海', 'ns', 18]
['草舍', 'n', 18]
['晃', 'v', 18]
['蹄', 'n', 18]
['关系', 'n', 18]
['本事', 'r', 18]
['满山', 'ns', 18]
['圆桌', 'n', 18]
['难容', 'n', 18]
['无缘', 'n', 18]
['云海', 'ns', 18]
['有无', 'v', 18]
['应有', 'v', 18]
['界', 'n', 18]
['抛开', 'v', 18]
['秉', 'v', 18]
['沐', 'nz', 18]
['领袖', 'n', 18]
['茧', 'ng', 18]
['寻梅', 'nr', 18]
['微雨', 'n', 18]
['一盏', 'm', 18]
['麦', 'nr', 18]
['巢', 'nr', 18]
['鸾', 'nr', 18]
['夜夜', 't', 18]
['千丝', 'm', 18]
['帝王', 'nr', 18]
['樵子', 'n', 18]
['爱民', 'n', 18]
['黄河', 'ns', 18]
['吻', 'v', 18]
['柳丝', 'nr', 18]
['漫天', 'z', 18]
['青衣', 'n', 18]
['勤俭', 'a', 18]
['斩', 'v', 18]
['长存', 'n', 18]
['降龙', 'n', 18]
['枉', 'vg', 18]
['春情', 'n', 18]
['水清', 'nr', 18]
['得', 'ud', 18]
['大气', 'n', 18]
['锋芒', 'n', 18]
['世纪', 'n', 18]
['相知', 'v', 18]
['莫道', 'nr', 18]
['总是', 'c', 18]
['填', 'v', 18]
['流言', 'n', 18]
['战士', 'n', 18]
['并蒂', 'v', 18]
['专家', 'n', 18]
['新气象', 'n', 18]
['清秋', 't', 18]
['阵阵', 'q', 18]
['云间', 'n', 18]
['峡', 'j', 18]
['正义', 'n', 18]
['骚', 'v', 18]
['荷塘', 'ns', 18]
['原野', 'n', 18]
['官场', 'n', 17]
['钟情', 'n', 17]
['劝', 'v', 17]
['生命', 'vn', 17]
['茶香', 'n', 17]
['千条', 'm', 17]
['老虎', 'nr', 17]
['天马', 'ns', 17]
['扣', 'v', 17]
['游山', 'n', 17]
['宾客', 'nr', 17]
['成败', 'v', 17]
['谁家', 'r', 17]
['杂', 'v', 17]
['觞', 'v', 17]
['日丽', 'ns', 17]
['高官', 'n', 17]
['骏马', 'n', 17]
['空谈', 'v', 17]
['交情', 'n', 17]
['开卷', 'v', 17]
['责任', 'n', 17]
['池塘', 'ns', 17]
['妍', 'zg', 17]
['惊天', 't', 17]
['惊人', 'a', 17]
['海市', 'ns', 17]
['味', 'n', 17]
['入室', 'n', 17]
['寻芳', 'nr', 17]
['凶', 'zg', 17]
['稻', 'n', 17]
['培', 'v', 17]
['聊天', 'nz', 17]
['福地', 'ns', 17]
['天寒', 'b', 17]
['广厦', 'ns', 17]
['拱', 'v', 17]
['烧香', 'n', 17]
['四大', 'j', 17]
['苍生', 'nr', 17]
['三径', 'n', 17]
['朗', 'nr', 17]
['雁影', 'nr', 17]
['奇文', 'nz', 17]
['偕', 'vg', 17]
['文中', 's', 17]
['归心', 'v', 17]
['卫', 'n', 17]
['三声', 'm', 17]
['艺术', 'n', 17]
['镜', 'n', 17]
['迎客', 'nr', 17]
['冰雪', 'n', 17]
['容易', 'a', 17]
['雀', 'ng', 17]
['疾风', 'n', 17]
['翻新', 'v', 17]
['移花', 'n', 17]
['留香', 'v', 17]
['童', 'nr', 17]
['园林', 'n', 17]
['珠帘', 'n', 17]
['三农', 'nz', 17]
['吕', 'nr', 17]
['仙人掌', 'n', 17]
['时间', 'n', 17]
['馥', 'ag', 17]
['尘埃', 'n', 17]
['雪', 'n', 17]
['闲庭', 'n', 17]
['苔', 'ng', 17]
['自觉', 'd', 17]
['偶然', 'd', 17]
['易水', 'nr', 17]
['家风', 'n', 17]
['坏', 'a', 17]
['财源', 'n', 17]
['骄', 'a', 17]
['意志', 'n', 17]
['柳叶', 'nr', 17]
['霜雪', 'n', 17]
['灾', 'n', 17]
['终归', 'd', 17]
['茅屋', 'n', 17]
['长', 'a', 17]
['浮华', 'nz', 17]
['留客', 'v', 17]
['云', 'n', 17]
['不生', 'v', 17]
['野草', 'n', 17]
['老汉', 'nr', 17]
['今夜', 't', 17]
['云深', 'nr', 17]
['飞来', 'v', 17]
['感恩', 'v', 17]
['摩', 'nz', 17]
['海誓', 'n', 17]
['芳心', 'n', 17]
['缝', 'v', 17]
['陵', 'ng', 17]
['胜负', 'v', 16]
['笛声', 'n', 16]
['饰', 'v', 16]
['高明', 'nr', 16]
['迁', 'v', 16]
['脚踏', 'v', 16]
['坚持', 'v', 16]
['华章', 'nr', 16]
['市井', 'n', 16]
['未来', 't', 16]
['无关', 'v', 16]
['山泉', 'ns', 16]
['正直', 'd', 16]
['长乐', 'ns', 16]
['循', 'vn', 16]
['佑', 'zg', 16]
['风格', 'n', 16]
['授', 'vg', 16]
['攻', 'v', 16]
['花招', 'nr', 16]
['不断', 'd', 16]
['满怀', 'nr', 16]
['准', 'v', 16]
['奇峰', 'n', 16]
['海内', 's', 16]
['谈心', 'v', 16]
['侯', 'nr', 16]
['花边', 'n', 16]
['良师', 'n', 16]
['绿豆', 'n', 16]
['欠', 'v', 16]
['中心', 'n', 16]
['慷慨', 'a', 16]
['一腔', 'm', 16]
['碧落', 'n', 16]
['开张', 'v', 16]
['杰', 'nr', 16]
['天真', 'nz', 16]
['遮天', 'v', 16]
['一色', 'n', 16]
['惧', 'v', 16]
['摇头', 'v', 16]
['问道', 'n', 16]
['风寒', 'n', 16]
['行善', 'v', 16]
['腐败', 'an', 16]
['生子', 'n', 16]
['艳阳', 'n', 16]
['青鸟', 'n', 16]
['黛', 'nr', 16]
['兴国', 'ns', 16]
['城乡', 'n', 16]
['廉洁', 'a', 16]
['稚子', 'n', 16]
['金风', 'n', 16]
['冰清', 't', 16]
['小子', 'n', 16]
['出水', 'v', 16]
['美满', 'a', 16]
['鹦鹉', 'n', 16]
['县', 'zg', 16]
['丢', 'zg', 16]
['九龙', 'nz', 16]
['不平', 'n', 16]
['机', 'n', 16]
['伊', 'ns', 16]
['烈', 'a', 16]
['笔锋', 'n', 16]
['芦', 'n', 16]
['繁荣', 'a', 16]
['激昂', 'a', 16]
['烹茶', 'v', 16]
['心底', 's', 16]
['山海', 'ns', 16]
['一个', 'm', 16]
['无价', 'v', 16]
['傲雪', 'nr', 16]
['可怜', 'v', 16]
['青衫', 'n', 16]
['寸心', 'n', 16]
['英姿', 'nz', 16]
['海口', 's', 16]
['昆', 'ns', 16]
['福寿', 'ns', 16]
['出门', 'v', 16]
['一朵', 'm', 16]
['老友', 'n', 16]
['悲欢', 'v', 16]
['山前', 's', 16]
['海外', 's', 16]
['放歌', 'v', 16]
['一路', 'm', 16]
['铜', 'n', 16]
['充饥', 'v', 16]
['东流', 'n', 16]
['江边', 's', 16]
['心清', 'nr', 16]
['樵', 'n', 16]
['禾', 'n', 16]
['卑', 'ag', 16]
['忠孝', 'a', 16]
['草根', 'n', 16]
['断肠', 'n', 16]
['活水', 'vn', 16]
['办事', 'n', 16]
['学子', 'n', 16]
['溪流', 'n', 16]
['拒', 'v', 16]
['春风', 'n', 16]
['野外', 's', 16]
['动情', 'n', 16]
['不负', 'v', 16]
['际', 'ng', 16]
['卷帘', 'n', 16]
['谈笑', 'vn', 16]
['说法', 'v', 16]
['家乡', 'n', 16]
['两袖', 'n', 16]
['凤毛', 'nr', 16]
['夫人', 'n', 16]
['训', 'vn', 16]
['灵犀', 'nr', 16]
['雷声', 'nr', 16]
['赤县', 'ns', 16]
['流行', 'v', 16]
['有神', 'n', 16]
['饥', 'n', 16]
['时代', 'n', 16]
['半世', 't', 16]
['泉水', 'ns', 16]
['一寸', 'm', 15]
['版主', 'n', 15]
['一品', 'm', 15]
['至', 'p', 15]
['洗耳', 'n', 15]
['齐眉', 'nr', 15]
['口', 'q', 15]
['免', 'v', 15]
['喝酒', 'v', 15]
['质', 'ng', 15]
['志士', 'n', 15]
['丰收', 'v', 15]
['夜色', 'n', 15]
['神舟', 'nz', 15]
['隐士', 'n', 15]
['抓', 'v', 15]
['求真', 'nz', 15]
['霜天', 't', 15]
['得志', 'n', 15]
['药鼎', 'n', 15]
['诗篇', 'n', 15]
['清辉', 'nr', 15]
['清白', 'a', 15]
['堂堂', 'n', 15]
['月夜', 't', 15]
['办', 'v', 15]
['孝子', 'n', 15]
['泼', 'v', 15]
['尘世', 'n', 15]
['眸', 'n', 15]
['雄文', 'n', 15]
['问题', 'n', 15]
['着意', 'v', 15]
['进步', 'd', 15]
['迎宾', 'nr', 15]
['半窗', 'n', 15]
['尊严', 'a', 15]
['山间', 'n', 15]
['孤峰', 'nr', 15]
['湖', 'ns', 15]
['未曾', 'd', 15]
['收拾', 'v', 15]
['主', 'b', 15]
['东篱', 'ns', 15]
['清韵', 'a', 15]
['筹', 'v', 15]
['茅舍', 'n', 15]
['不须', 'd', 15]
['大肚', 'n', 15]
['白鹤', 'nr', 15]
['江河', 'ns', 15]
['光荣', 'nr', 15]
['浮萍', 'nr', 15]
['饮水', 'n', 15]
['双峰', 'nr', 15]
['欲求', 'n', 15]
['风', 'n', 15]
['功成', 'n', 15]
['和', 'c', 15]
['惠风', 'nr', 15]
['萃', 'v', 15]
['不让', 'v', 15]
['求学', 'v', 15]
['水', 'n', 15]
['园丁', 'n', 15]
['武功', 'nr', 15]
['欢乐', 'a', 15]
['适', 'v', 15]
['开封', 'v', 15]
['三星', 'nz', 15]
['弘扬', 'nr', 15]
['名家', 'n', 15]
['生辉', 'nr', 15]
['语言', 'n', 15]
['人事', 'n', 15]
['朵朵', 'q', 15]
['本色', 'n', 15]
['百鸟', 'n', 15]
['球', 'n', 15]
['秋实', 'l', 15]
['情', 'n', 15]
['扫地', 'n', 15]
['流泉', 'n', 15]
['老道', 'n', 15]
['楹', 'q', 15]
['贼', 'n', 15]
['微言', 'n', 15]
['杳', 'zg', 15]
['递', 'v', 15]
['成仙', 'n', 15]
['歌舞', 'n', 15]
['经济', 'n', 15]
['化雨', 'n', 15]
['缕', 'q', 15]
['脑', 'n', 15]
['毋', 'nr', 15]
['一些', 'm', 15]
['小鬼', 'n', 15]
['豪情', 'n', 15]
['凤', 'nr', 15]
['饼', 'n', 15]
['匀', 'v', 15]
['幽香', 'n', 15]
['犁', 'n', 15]
['样', 'n', 15]
['我心', 'n', 15]
['薪', 'n', 15]
['温馨', 'nr', 15]
['晕', 'v', 15]
['谋生', 'v', 15]
['花径', 'n', 15]
['纷', 'd', 15]
['晋', 'nr', 15]
['万木', 'nr', 15]
['万国', 'ns', 15]
['中庸', 'nrt', 15]
['奥运', 'j', 15]
['志气', 'n', 15]
['传神', 'n', 15]
['蒸', 'v', 15]
['四壁', 'ns', 15]
['潜', 'v', 15]
['奈何', 'v', 15]
['前', 'f', 15]
['渔翁', 'n', 15]
['下棋', 'v', 15]
['欢心', 'v', 15]
['放下', 'v', 15]
['报喜', 'v', 15]
['七彩', 'nz', 15]
['支', 'n', 15]
['奔驰', 'v', 14]
['工作', 'vn', 14]
['左', 'm', 14]
['上', 'f', 14]
['不语', 'n', 14]
['男儿', 'n', 14]
['圣代', 't', 14]
['工程', 'n', 14]
['送客', 'v', 14]
['举手', 'v', 14]
['香烟', 'n', 14]
['赵', 'nr', 14]
['原因', 'n', 14]
['抗日', 'nz', 14]
['琴瑟', 'nrt', 14]
['经典', 'n', 14]
['福气', 'n', 14]
['白首', 'n', 14]
['两重', 'm', 14]
['古木', 'nr', 14]
['龙飞', 'nr', 14]
['关情', 'n', 14]
['磊落', 'a', 14]
['功劳', 'n', 14]
['民族', 'n', 14]
['蛋', 'n', 14]
['小溪', 'nr', 14]
['一张', 'm', 14]
['山东', 'ns', 14]
['云淡', 'nr', 14]
['闷', 'v', 14]
['无忧', 'v', 14]
['乍', 'ns', 14]
['铃', 'nr', 14]
['不忍', 'v', 14]
['庄', 'nr', 14]
['绪', 'ng', 14]
['佩', 'zg', 14]
['病', 'n', 14]
['卧龙', 'ns', 14]
['凌空', 'nr', 14]
['横秋', 'n', 14]
['裂', 'v', 14]
['俗世', 'v', 14]
['深', 'ns', 14]
['归山', 'nr', 14]
['寸', 'm', 14]
['水火', 'n', 14]
['农夫', 'n', 14]
['尺', 'q', 14]
['百家', 'm', 14]
['卫国', 'ns', 14]
['王侯', 'nr', 14]
['忠臣', 'n', 14]
['逃', 'v', 14]
['何年', 'r', 14]
['热血', 'n', 14]
['服务', 'vn', 14]
['花', 'v', 14]
['秋来', 't', 14]
['故土', 'n', 14]
['出谷', 'n', 14]
['泣鬼神', 'i', 14]
['明心', 'a', 14]
['人面', 'n', 14]
['为', 'p', 14]
['皇帝', 'n', 14]
['撼', 'v', 14]
['传道', 'v', 14]
['幽兰', 'n', 14]
['意', 'n', 14]
['昂', 'nr', 14]
['心地', 's', 14]
['囊', 'zg', 14]
['银烛', 'n', 14]
['学生', 'n', 14]
['楹联', 'n', 14]
['骨头', 'n', 14]
['新声', 'n', 14]
['不易', 'a', 14]
['石头', 'n', 14]
['袖手', 'n', 14]
['妙趣', 'n', 14]
['眼睛', 'n', 14]
['封侯', 'nr', 14]
['绳', 'n', 14]
['梦', 'n', 14]
['侣', 'zg', 14]
['眼下', 't', 14]
['妖', 'n', 14]
['笑脸', 'n', 14]
['字', 'n', 14]
['学士', 'n', 14]
['滔滔', 'z', 14]
['三代', 't', 14]
['放浪', 'v', 14]
['骏', 'n', 14]
['乔木', 'nr', 14]
['技', 'n', 14]
['不由', 'a', 14]
['农民', 'n', 14]
['鲜花', 'n', 14]
['孤舟', 'nr', 14]
['轻松', 'a', 14]
['十三', 'm', 14]
['无名', 'v', 14]
['半山', 'ns', 14]
['汗', 'zg', 14]
['金花', 'n', 14]
['赤壁', 'n', 14]
['风高', 'n', 14]
['翻身', 'v', 14]
['社', 'n', 14]
['感情', 'n', 14]
['朦胧', 'a', 14]
['珠玑', 'nz', 14]
['潇湘', 'ns', 14]
['光', 'n', 14]
['西施', 'n', 14]
['湖海', 'ns', 14]
['深藏', 'ns', 14]
['生', 'vn', 14]
['世道', 'n', 14]
['消愁', 'v', 14]
['蓬', 'nr', 14]
['作', 'v', 14]
['安排', 'v', 14]
['可畏', 'v', 14]
['熬', 'v', 14]
['出手', 'v', 14]
['私', 'ag', 14]
['随缘', 'n', 14]
['郑', 'ns', 14]
['酒', 'n', 14]
['渔樵', 'n', 14]
['中兴', 'ns', 14]
['海浪', 'nz', 14]
['罩', 'v', 14]
['弟子', 'n', 14]
['眉目', 'n', 13]
['群山', 'n', 13]
['篱下', 'n', 13]
['外', 'f', 13]
['不敢', 'd', 13]
['不染', 'v', 13]
['仁风', 'nr', 13]
['雅士', 'ns', 13]
['人', 'n', 13]
['难', 'a', 13]
['夕阳红', 'l', 13]
['闯', 'v', 13]
['逐日', 'd', 13]
['抢', 'v', 13]
['春早', 't', 13]
['交流', 'n', 13]
['故友', 'n', 13]
['陆', 'nr', 13]
['婆', 'n', 13]
['破浪', 'v', 13]
['新绿', 'b', 13]
['动', 'v', 13]
['犯', 'v', 13]
['好景', 'n', 13]
['信口', 'n', 13]
['水暖', 'n', 13]
['思春', 'nr', 13]
['依依', 'z', 13]
['苇', 'zg', 13]
['孔子', 'nr', 13]
['知心', 'v', 13]
['当先', 'd', 13]
['司', 'nr', 13]
['回味', 'v', 13]
['美名', 'm', 13]
['半月', 't', 13]
['麻烦', 'an', 13]
['白眼', 'n', 13]
['事', 'n', 13]
['良辰', 'n', 13]
['仙风', 'n', 13]
['残阳', 'n', 13]
['汉子', 'n', 13]
['凡人', 'n', 13]
['心', 'n', 13]
['叠翠', 'z', 13]
['卒', 'ng', 13]
['重庆', 'ns', 13]
['春风', 'n', 13]
['前途', 'n', 13]
['警', 'n', 13]
['香飘', 'nr', 13]
['塞外', 's', 13]
['谓', 'v', 13]
['轮', 'zg', 13]
['异乡', 'n', 13]
['绿竹', 'n', 13]
['墨客', 'nr', 13]
['嚼', 'v', 13]
['月', 'm', 13]
['客梦', 'n', 13]
['日', 'm', 13]
['小雨', 'nr', 13]
['孰', 'r', 13]
['判', 'zg', 13]
['移山', 'n', 13]
['无需', 'v', 13]
['百般', 'd', 13]
['麻', 'nr', 13]
['枪', 'n', 13]
['小楼', 'n', 13]
['波澜', 'nz', 13]
['留神', 'v', 13]
['世情', 'n', 13]
['燕归', 'nr', 13]
['柳', 'n', 13]
['感慨', 'v', 13]
['扁舟', 'n', 13]
['澄清', 'v', 13]
['步步', 'n', 13]
['壑', 'ng', 13]
['六艺', 'n', 13]
['旬', 'zg', 13]
['畏', 'vg', 13]
['晓露', 'v', 13]
['疆', 'n', 13]
['幕', 'q', 13]
['言行', 'n', 13]
['水漫', 'n', 13]
['鞋', 'n', 13]
['玫瑰', 'n', 13]
['权衡', 'nr', 13]
['水墨', 'n', 13]
['翡翠', 'n', 13]
['番', 'q', 13]
['嫌', 'v', 13]
['垂柳', 'n', 13]
['耐', 'nz', 13]
['疏影', 'n', 13]
['草堂', 'n', 13]
['股', 'q', 13]
['忠诚', 'a', 13]
['流莺', 'n', 13]
['名扬', 'v', 13]
['秋光', 'nr', 13]
['雁塔', 'nr', 13]
['立志', 'n', 13]
['掠', 'v', 13]
['灌', 'v', 13]
['烂', 'v', 13]
['时机', 'n', 13]
['莫言', 'nr', 13]
['飞扬', 'v', 13]
['传承', 'v', 13]
['花灯', 'n', 13]
['天趣', 'n', 13]
['克', 'm', 13]
['万众', 'n', 13]
['污', 'vn', 13]
['取舍', 'v', 13]
['尖', 'a', 13]
['几处', 'm', 13]
['健体', 'a', 13]
['醉心', 'n', 13]
['新', 'a', 13]
['齿', 'n', 13]
['人眼', 'n', 13]
['流芳', 'n', 13]
['三日', 't', 13]
['擂', 'v', 13]
['空中', 's', 13]
['去', 'v', 13]
['梧桐', 'n', 13]
['掉', 'zg', 13]
['旧梦', 'n', 13]
['风卷', 'n', 13]
['蟹', 'ng', 13]
['青年', 't', 13]
['终日', 'd', 13]
['细浪', 'n', 13]
['门第', 'nr', 13]
['坎坷', 'a', 13]
['仙子', 'n', 13]
['山下', 's', 13]
['相随', 'v', 13]
['真知', 'n', 13]
['花草', 'n', 13]
['鸟声', 'n', 13]
['湖上', 's', 13]
['高高', 'a', 13]
['不通', 'a', 13]
['孟', 'nr', 13]
['文坛', 'n', 13]
['追求', 'v', 13]
['穷通', 'n', 13]
['月', 'm', 13]
['全家', 'n', 13]
['国', 'n', 13]
['柴门', 'n', 13]
['千门', 'm', 13]
['抹', 'v', 13]
['事事', 'n', 13]
['整', 'v', 13]
['文武', 'nr', 13]
['山', 'n', 13]
['先知', 'n', 13]
['金猴', 'n', 13]
['钓鱼', 'n', 13]
['正', 'd', 13]
['逢时', 'v', 13]
['千行', 'm', 13]
['万点', 'm', 13]
['夏衍', 'nr', 13]
['屠', 'nr', 13]
['鸡毛', 'n', 13]
['生态', 'n', 13]
['留心', 'v', 13]
['来', 'v', 12]
['寿宴', 'n', 12]
['五月', 't', 12]
['谈', 'v', 12]
['廉政', 'nr', 12]
['痛', 'a', 12]
['锡', 'ns', 12]
['火候', 'n', 12]
['两三', 'm', 12]
['风冷', 'n', 12]
['万缕', 'm', 12]
['焉能', 'ns', 12]
['满庭', 'nr', 12]
['猴', 'ng', 12]
['庭院', 'n', 12]
['槐', 'nr', 12]
['梦', 'n', 12]
['风', 'n', 12]
['有所', 'n', 12]
['升平', 'n', 12]
['挥刀', 'v', 12]
['夫子', 'n', 12]
['丸', 'zg', 12]
['膏', 'n', 12]
['云浮', 'ns', 12]
['满眼', 'd', 12]
['求知', 'v', 12]
['身体', 'n', 12]
['重重', 'a', 12]
['藉', 'zg', 12]
['撒', 'v', 12]
['日后', 't', 12]
['文风', 'n', 12]
['旧事', 'n', 12]
['大漠', 'n', 12]
['五洲', 'ns', 12]
['更新', 'd', 12]
['敬老', 'nr', 12]
['来', 'v', 12]
['桑', 'nr', 12]
['方丈', 'n', 12]
['玄机', 'n', 12]
['一竿', 'n', 12]
['骏骨', 'n', 12]
['轮回', 'v', 12]
['翩翩', 'nr', 12]
['道理', 'n', 12]
['天子', 'n', 12]
['山野', 'ns', 12]
['椽', 'zg', 12]
['投资', 'vn', 12]
['衣锦', 'nr', 12]
['春天', 't', 12]
['三顾', 'n', 12]
['认错', 'v', 12]
['一笔', 'm', 12]
['抚琴', 'ns', 12]
['霸', 'n', 12]
['气节', 'n', 12]
['全球', 'n', 12]
['向上', 'd', 12]
['春晚', 't', 12]
['干戈', 'nr', 12]
['右', 'f', 12]
['点缀', 'v', 12]
['愈', 'd', 12]
['灵山', 'ns', 12]
['碧浪', 'nr', 12]
['渭水', 'ns', 12]
['霞光', 'n', 12]
['自得', 'v', 12]
['侠', 'nr', 12]
['郁', 'nr', 12]
['江东', 'ns', 12]
['姜', 'nr', 12]
['开关', 'v', 12]
['大山', 'ns', 12]
['儿女', 'n', 12]
['溯', 'vg', 12]
['区区', 'n', 12]
['落魄', 'a', 12]
['回家', 'n', 12]
['日', 'm', 12]
['寻花', 'nr', 12]
['愁肠', 'n', 12]
['放眼', 'v', 12]
['宝玉', 'nr', 12]
['面壁', 'n', 12]
['顺风', 'n', 12]
['归', 'v', 12]
['不容', 'n', 12]
['鹰', 'n', 12]
['贝叶', 'nr', 12]
['一对', 'm', 12]
['团结', 'a', 12]
['笑话', 'n', 12]
['高峰', 'nr', 12]
['烽火', 'n', 12]
['学习', 'v', 12]
['农', 'zg', 12]
['奇葩', 'n', 12]
['光风', 'n', 12]
['孤灯', 'n', 12]
['秤', 'n', 12]
['天堂', 'n', 12]
['天道', 'n', 12]
['智者', 'n', 12]
['龙舟', 'nz', 12]
['青灯', 'n', 12]
['江海', 'ns', 12]
['不好', 'd', 12]
['跳', 'v', 12]
['歌', 'n', 12]
['郎中', 'nr', 12]
['茗', 'ng', 12]
['辛勤', 'nr', 12]
['团', 'n', 12]
['功德', 'n', 12]
['瑶', 'j', 12]
['为', 'p', 12]
['俯', 'v', 12]
['叶茂', 'nr', 12]
['示', 'v', 12]
['山门', 'ns', 12]
['金牌', 'n', 12]
['峻', 'ag', 12]
['诗词', 'n', 12]
['毁', 'v', 12]
['当归', 'v', 12]
['风气', 'n', 12]
['嘉宾', 'ns', 12]
['残红', 'n', 12]
['因', 'p', 12]
['月华', 'j', 12]
['兰质', 'n', 12]
['名牌', 'n', 12]
['荷风', 'n', 12]
['公心', 'n', 12]
['罪', 'zg', 12]
['和睦', 'nr', 12]
['花繁', 'nr', 12]
['麟', 'ng', 12]
['丢人', 'v', 12]
['人争', 'n', 12]
['科学', 'n', 12]
['峥嵘', 'z', 12]
['旷', 'nr', 12]
['云雾', 'n', 12]
['喜讯', 'nz', 12]
['胜事', 'n', 12]
['山河', 'ns', 12]
['璧', 'zg', 12]
['出头', 'v', 12]
['羹', 'ng', 12]
['赏花', 'n', 12]
['父母', 'n', 12]
['铁马', 'n', 12]
['成章', 'n', 12]
['灯影', 'n', 12]
['清新', 'a', 12]
['海潮', 'n', 12]
['半天', 'm', 12]
['统', 'v', 12]
['陌', 'a', 12]
['歇', 'v', 12]
['戒', 'n', 12]
['捷径', 'n', 12]
['开来', 'v', 12]
['绿叶', 'n', 12]
['淡月', 't', 12]
['捞', 'v', 12]
['行为', 'v', 12]
['北极', 'ns', 12]
['春近', 't', 12]
